"PathwayID","GeneID","Symbol","Description"
"hsa00010","10327","AKR1A1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","124","ADH1A","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","125","ADH1B","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","126","ADH1C","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","127","ADH4","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","128","ADH5","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","130","ADH6","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","130589","GALM","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","131","ADH7","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","160287","LDHAL6A","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","1737","DLAT","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","1738","DLD","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2023","ENO1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2026","ENO2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2027","ENO3","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","217","ALDH2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","218","ALDH3A1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","219","ALDH1B1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2203","FBP1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","221","ALDH3B1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","222","ALDH3B2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","223","ALDH9A1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","224","ALDH3A2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","226","ALDOA","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","229","ALDOB","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","230","ALDOC","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2538","G6PC1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2597","GAPDH","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","26330","GAPDHS","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2645","GCK","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","2821","GPI","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","3098","HK1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","3099","HK2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","3101","HK3","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","387712","ENO4","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","3939","LDHA","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","3945","LDHB","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","3948","LDHC","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","441531","PGAM4","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","501","ALDH7A1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5105","PCK1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5106","PCK2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5160","PDHA1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5161","PDHA2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5162","PDHB","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5211","PFKL","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5213","PFKM","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5214","PFKP","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5223","PGAM1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5224","PGAM2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5230","PGK1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5232","PGK2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5236","PGM1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5313","PKLR","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","5315","PKM","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","55276","PGM2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","55902","ACSS2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","57818","G6PC2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","669","BPGM","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","7167","TPI1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","80201","HKDC1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","83440","ADPGK","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","84532","ACSS1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","8789","FBP2","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","92483","LDHAL6B","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","92579","G6PC3","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00010","9562","MINPP1","Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00020","1431","CS","Citrate cycle (TCA cycle) - Homo sapiens (human)"
